district,channel_name,channel_id
Mahesana,484,Mahesana
Mahisagar,485,Mahisagar
Mahoba,486,Mahoba
Mahrajganj,487,Mahrajganj
Maihar,488,Maihar
Mainpuri,489,Mainpuri
Majuli,490,Majuli
Malappuram,491,Malappuram
Malda,492,Malda
Malerkotla,493,Malerkotla
Malkangiri,494,Malkangiri
Mamit,495,Mamit
Mancherial,496,Mancherial
Mandi,497,Mandi
Mandla,498,Mandla
Mandsaur,499,Mandsaur
Mandya,500,Mandya
Munger,501,Munger
Murshidabad,502,Murshidabad
Muzaffarnagar,503,Muzaffarnagar
Muzaffarpur,504,Muzaffarpur
Mysuru,505,Mysuru
Nabarangpur,506,Nabarangpur
Nadia,507,Nadia
Nagaon,508,Nagaon
Nagapattinam,509,Nagapattinam
Nagarkurnool,510,Nagarkurnool
Nagaur,511,Nagaur
Nagpur,512,Nagpur
Nainital,513,Nainital
Nalanda,514,Nalanda
Nalbari,515,Nalbari
Nalgonda,516,Nalgonda
Namakkal,517,Namakkal
Namchi,518,Namchi
Namsai,519,Namsai
Nanded,520,Nanded
Nandurbar,521,Nandurbar
Nandyal,522,Nandyal
Narayanpet,523,Narayanpet
Narayanpur,524,Narayanpur
Kurukshetra,525,Kurukshetra
Kushinagar,527,Kushinagar
Lakhimpur,529,Lakhimpur
Lakhisarai,530,Lakhisarai
Lalitpur,532,Lalitpur
Latehar,533,Latehar
Latur,534,Latur
Lawngtlai,535,Lawngtlai
Leparada,537,Leparada
Lohardaga,538,Lohardaga
Lohit,539,Lohit
Longding,540,Longding
Longleng,541,Longleng
Lucknow,545,Lucknow
Ludhiana,546,Ludhiana
Lunglei,547,Lunglei
MAUGANJ,548,MAUGANJ
Narmada,549,Narmada
Narmadapuram,550,Narmadapuram
Narsimhapur,551,Narsimhapur
Nashik,552,Nashik
Navsari,553,Navsari
Nawada,554,Nawada
Nayagarh,555,Nayagarh
Neemuch,556,Neemuch
Nicobars,558,Nicobars
Nirmal,559,Nirmal
Niuland,560,Niuland
Niwari,561,Niwari
Nizamabad,562,Nizamabad
Noklak,563,Noklak
Noney,564,Noney
North,565,North
Ntr,573,Ntr
Nuapada,574,Nuapada
Nuh,575,Nuh
Pakur,577,Pakur
Pakyong,578,Pakyong
Palakkad,579,Palakkad
Palamu,580,Palamu
Palghar,581,Palghar
Pali,582,Pali
Palnadu,583,Palnadu
Palwal,584,Palwal
Panchkula,586,Panchkula
Pandhurna,587,Pandhurna
Panipat,588,Panipat
Panna,589,Panna
Parbhani,591,Parbhani
Patan,596,Patan
Manendragarh-Chirmiri-Bharatpur,597,ManendragarhChirmiriBharatpur
Mangan,598,Mangan
Mansa,599,Mansa
Marigaon,600,Marigaon
Mathura,601,Mathura
Mau,602,Mau
Mayiladuthurai,603,Mayiladuthurai
Mayurbhanj,604,Mayurbhanj
Medak,605,Medak
Meerut,607,Meerut
Meluri,608,Meluri
Mirzapur,609,Mirzapur
Moga,610,Moga
Mokokchung,612,Mokokchung
Mon,613,Mon
Moradabad,614,Moradabad
Morbi,615,Morbi
Morena,616,Morena
Mulugu,617,Mulugu
Mumbai,618,Mumbai
Mungeli,620,Mungeli
Pathanamthitta,621,Pathanamthitta
Pathankot,622,Pathankot
Patiala,623,Patiala
Patna,624,Patna
Peddapalli,626,Peddapalli
Perambalur,627,Perambalur
Peren,628,Peren
Phalodi,629,Phalodi
Phek,630,Phek
Pherzawl,631,Pherzawl
Pilibhit,632,Pilibhit
Pithoragarh,633,Pithoragarh
Poonch,634,Poonch
Porbandar,635,Porbandar
Prakasam,636,Prakasam
Pratapgarh,637,Pratapgarh
Pratapgarh,637,Pratapgarh
Prayagraj,638,Prayagraj
Puducherry,639,Puducherry
Pudukkottai,640,Pudukkottai
Pulwama,641,Pulwama
nan,520,Nanded
Puri,645,Puri
Purnia,646,Purnia
Purulia,647,Purulia
Raichur,649,Raichur
nan,520,Nanded
Raigarh,650,Raigarh
Raipur,651,Raipur
Raisen,652,Raisen
Rajgarh,654,Rajgarh
Rajkot,655,Rajkot
Rajnandgaon,656,Rajnandgaon
Rajouri,657,Rajouri
Rajsamand,658,Rajsamand
Ramanathapuram,659,Ramanathapuram
Ramban,660,Ramban
Ramgarh,661,Ramgarh
Rampur,662,Rampur
Ranchi,663,Ranchi
Ranipet,665,Ranipet
Ratlam,666,Ratlam
Ratnagiri,667,Ratnagiri
Rayagada,668,Rayagada
Reasi,669,Reasi
Rewa,670,Rewa
Rewari,671,Rewari
Rohtak,673,Rohtak
Rudraprayag,675,Rudraprayag
Rupnagar,676,Rupnagar
Nagar,677,Nagar
Sagar,679,Sagar
Saharanpur,680,Saharanpur
Saharsa,681,Saharsa
Sahebganj,682,Sahebganj
Saitual,683,Saitual
Sakti,684,Sakti
Salem,685,Salem
Salumbar,686,Salumbar
Samastipur,687,Samastipur
Samba,688,Samba
Sambalpur,689,Sambalpur
Sambhal,690,Sambhal
Sangareddy,691,Sangareddy
Sangli,692,Sangli
Sangrur,693,Sangrur
Saran,696,Saran
Sarangarh-Bilaigarh,697,SarangarhBilaigarh
Satara,698,Satara
Satna,699,Satna
Sehore,701,Sehore
Senapati,702,Senapati
Seoni,703,Seoni
Sepahijala,704,Sepahijala
Serchhip,705,Serchhip
Shahdara,706,Shahdara
Shahdol,707,Shahdol
Shahjahanpur,709,Shahjahanpur
Shajapur,710,Shajapur
Shamator,711,Shamator
Shamli,712,Shamli
Sheikhpura,713,Sheikhpura
Siwan,714,Siwan
Solan,715,Solan
Solapur,716,Solapur
Sonbhadra,717,Sonbhadra
Sonepur,718,Sonepur
Sonipat,719,Sonipat
Sonitpur,720,Sonitpur
Soreng,721,Soreng
South,722,South
Sribhumi,736,Sribhumi
Srikakulam,737,Srikakulam
Srinagar,738,Srinagar
Sukma,739,Sukma
Sultanpur,740,Sultanpur
Sundargarh,741,Sundargarh
Supaul,742,Supaul
Surajpur,743,Surajpur
Surat,744,Surat
Surendranagar,745,Surendranagar
Surguja,746,Surguja
Suryapet,747,Suryapet
Tamenglong,748,Tamenglong
Tamulpur,749,Tamulpur
Tapi,750,Tapi
Tawang,752,Tawang
Tengnoupal,754,Tengnoupal
Tenkasi,755,Tenkasi
nan,520,Nanded
Thanjavur,756,Thanjavur
Theni,758,Theni
Thiruvallur,759,Thiruvallur
Thiruvananthapuram,760,Thiruvananthapuram
Thiruvarur,761,Thiruvarur
Thoothukkudi,762,Thoothukkudi
Thoubal,763,Thoubal
Thrissur,764,Thrissur
Tikamgarh,765,Tikamgarh
Tinsukia,766,Tinsukia
Tirap,767,Tirap
Tiruchirappalli,768,Tiruchirappalli
Tirunelveli,769,Tirunelveli
Tirupathur,770,Tirupathur
Tirupati,771,Tirupati
Tiruppur,772,Tiruppur
Tiruvannamalai,773,Tiruvannamalai
Tonk,774,Tonk
Tseminyu,775,Tseminyu
Tuensang,776,Tuensang
Tumakuru,777,Tumakuru
nan,520,Nanded
Udalguri,778,Udalguri
Udhampur,780,Udhampur
Udupi,781,Udupi
Ujjain,782,Ujjain
Ukhrul,783,Ukhrul
Sheohar,784,Sheohar
Sheopur,785,Sheopur
Shimla,787,Shimla
Shivamogga,788,Shivamogga
Shivpuri,789,Shivpuri
Shopian,790,Shopian
Shrawasti,791,Shrawasti
Siaha,792,Siaha
Siang,793,Siang
Siddharthnagar,794,Siddharthnagar
Siddipet,795,Siddipet
Sidhi,796,Sidhi
Sikar,797,Sikar
Simdega,798,Simdega
Sindhudurg,799,Sindhudurg
Singrauli,800,Singrauli
Sirmaur,801,Sirmaur
Sirohi,802,Sirohi
Sirsa,803,Sirsa
Sitamarhi,804,Sitamarhi
Sitapur,805,Sitapur
Sivaganga,806,Sivaganga
Sivasagar,807,Sivasagar
Umaria,808,Umaria
Una,809,Una
Unakoti,810,Unakoti
Unnao,811,Unnao
Uttarkashi,817,Uttarkashi
Vadodara,818,Vadodara
Vaishali,819,Vaishali
Valsad,820,Valsad
Varanasi,821,Varanasi
Vellore,822,Vellore
Vidisha,823,Vidisha
Vijayanagara,824,Vijayanagara
Vijayapura,825,Vijayapura
Vikarabad,826,Vikarabad
Viluppuram,827,Viluppuram
Virudhunagar,828,Virudhunagar
Visakhapatnam,829,Visakhapatnam
Vizianagaram,830,Vizianagaram
Wanaparthy,831,Wanaparthy
Warangal,832,Warangal
Wardha,833,Wardha
Washim,834,Washim
Wayanad,835,Wayanad
West,836,West
Wokha,846,Wokha
Kadapa,847,Kadapa
Yadgir,849,Yadgir
Yamunanagar,850,Yamunanagar
Yavatmal,851,Yavatmal
Zunheboto,852,Zunheboto
